Country_Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
India,2015.0,27.0,0.0,18.0,15.0,4.0,37.0,14.0,4.0,47.0,12.0,13.0,0.0,2.0,7.0,3.0,5.0,9.0,0.0,0.0,25.0,14.0,1.0,3.0,0.0,21.0,0.0,3.0
India,2016.0,34.0,0.0,28.0,37.0,14.0,77.0,27.0,24.0,94.0,28.0,28.0,0.0,14.0,8.0,9.0,7.0,22.0,1.0,4.0,31.0,18.0,8.0,3.0,0.0,33.0,5.0,2.0
India,2017.0,60.0,0.0,30.0,34.0,13.0,110.0,42.0,35.0,128.0,26.0,25.0,0.0,10.0,14.0,7.0,6.0,21.0,0.0,1.0,49.0,17.0,9.0,6.0,0.0,48.0,5.0,2.0
India,2018.0,84.0,0.0,31.0,26.0,17.0,163.0,62.0,43.0,217.0,21.0,40.0,1.0,14.0,38.0,8.0,10.0,32.0,0.0,6.0,86.0,27.0,7.0,13.0,4.0,90.0,9.0,2.0
India,2019.0,58.0,0.0,31.0,37.0,12.0,124.0,39.0,36.0,168.0,28.0,42.0,3.0,13.0,28.0,11.0,1.0,24.0,0.0,10.0,59.0,23.0,9.0,7.0,0.0,47.0,8.0,0.0
India,2020.0,42.0,0.0,34.0,40.0,9.0,137.0,39.0,42.0,175.0,44.0,27.0,2.0,8.0,24.0,14.0,5.0,37.0,0.0,19.0,74.0,24.0,11.0,12.0,1.0,61.0,2.0,1.0
India,2021.0,8.0,0.0,7.0,3.0,2.0,14.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,6.0,5.0,1.0,2.0,1.0,5.0,0.0,1.0
Israel,2015.0,22.0,0.0,14.0,10.0,3.0,32.0,12.0,4.0,37.0,11.0,13.0,0.0,2.0,5.0,3.0,3.0,11.0,0.0,0.0,15.0,10.0,1.0,1.0,0.0,16.0,3.0,2.0
Israel,2016.0,37.0,0.0,26.0,31.0,11.0,64.0,17.0,22.0,65.0,22.0,26.0,0.0,10.0,3.0,7.0,7.0,13.0,1.0,3.0,25.0,18.0,6.0,3.0,0.0,25.0,6.0,1.0
Israel,2017.0,46.0,0.0,27.0,32.0,8.0,94.0,38.0,25.0,94.0,22.0,23.0,0.0,4.0,13.0,5.0,2.0,19.0,0.0,2.0,39.0,13.0,7.0,6.0,0.0,41.0,3.0,2.0
Israel,2018.0,81.0,0.0,32.0,26.0,14.0,149.0,55.0,40.0,197.0,22.0,41.0,1.0,14.0,33.0,8.0,11.0,27.0,0.0,6.0,78.0,25.0,7.0,9.0,4.0,78.0,8.0,2.0
Israel,2019.0,56.0,0.0,33.0,30.0,11.0,122.0,44.0,36.0,152.0,29.0,33.0,3.0,8.0,28.0,10.0,1.0,26.0,0.0,10.0,51.0,21.0,10.0,4.0,0.0,47.0,7.0,0.0
Israel,2020.0,51.0,0.0,37.0,40.0,10.0,144.0,42.0,45.0,176.0,46.0,27.0,2.0,9.0,26.0,12.0,3.0,37.0,0.0,20.0,79.0,26.0,12.0,13.0,1.0,66.0,2.0,1.0
Israel,2021.0,8.0,0.0,7.0,3.0,2.0,19.0,6.0,9.0,24.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,6.0,3.0,1.0,2.0,1.0,5.0,0.0,1.0
Italy,2015.0,23.0,0.0,20.0,12.0,3.0,37.0,11.0,6.0,35.0,11.0,12.0,0.0,2.0,8.0,3.0,3.0,11.0,0.0,0.0,19.0,15.0,1.0,1.0,0.0,21.0,1.0,3.0
Italy,2016.0,37.0,0.0,31.0,30.0,15.0,69.0,24.0,21.0,79.0,21.0,24.0,0.0,10.0,4.0,9.0,5.0,18.0,1.0,3.0,24.0,17.0,5.0,4.0,0.0,33.0,8.0,1.0
Italy,2017.0,49.0,0.0,30.0,33.0,10.0,110.0,40.0,25.0,100.0,22.0,24.0,0.0,7.0,15.0,6.0,1.0,18.0,0.0,2.0,36.0,17.0,8.0,6.0,0.0,41.0,5.0,2.0
Italy,2018.0,66.0,0.0,30.0,31.0,14.0,132.0,45.0,36.0,145.0,19.0,30.0,1.0,11.0,28.0,6.0,6.0,19.0,0.0,6.0,49.0,27.0,7.0,9.0,4.0,65.0,8.0,1.0
Italy,2019.0,50.0,0.0,35.0,37.0,12.0,108.0,38.0,33.0,133.0,29.0,33.0,3.0,8.0,26.0,9.0,1.0,22.0,0.0,10.0,45.0,20.0,10.0,4.0,0.0,45.0,5.0,0.0
Italy,2020.0,47.0,0.0,37.0,43.0,10.0,150.0,44.0,46.0,175.0,45.0,29.0,2.0,9.0,24.0,13.0,5.0,37.0,0.0,20.0,74.0,23.0,12.0,11.0,1.0,65.0,2.0,1.0
Italy,2021.0,12.0,0.0,9.0,3.0,2.0,30.0,13.0,10.0,37.0,6.0,10.0,1.0,3.0,1.0,3.0,0.0,7.0,0.0,1.0,7.0,5.0,3.0,2.0,1.0,13.0,1.0,1.0
Japan,2015.0,45.0,0.0,29.0,35.0,3.0,77.0,29.0,5.0,104.0,10.0,31.0,0.0,5.0,20.0,4.0,6.0,34.0,1.0,0.0,46.0,26.0,0.0,8.0,0.0,36.0,2.0,3.0
